,total_day_minutes,total_day_charge,total_eve_minutes,total_eve_charge,total_night_minutes,total_night_charge,total_intl_minutes,total_intl_charge,TARGET
1160,112.2,19.07,154.8,13.16,166.7,7.5,10.6,2.86,0
1161,170.7,29.02,179.1,15.22,281.9,12.69,8.2,2.21,0
1162,172.5,29.33,142.6,12.12,102.0,4.59,10.9,2.94,0
1163,194.3,33.03,243.2,20.67,322.2,14.5,7.1,1.92,0
1164,187.8,31.93,129.8,11.03,132.3,5.95,12.0,3.24,0
1165,307.1,52.21,289.4,24.6,174.9,7.87,8.0,2.16,0
1166,118.2,20.09,167.2,14.21,214.2,9.64,12.2,3.29,0
1167,154.0,26.18,205.9,17.5,233.7,10.52,12.9,3.48,0
1168,155.5,26.44,213.4,18.14,237.9,10.71,7.6,2.05,0
1169,125.6,21.35,213.0,18.11,181.7,8.18,5.4,1.46,0
1170,199.3,33.88,224.2,19.06,140.1,6.3,15.2,4.1,0
1171,157.9,26.84,180.8,15.37,132.5,5.96,12.8,3.46,0
1172,203.4,34.58,167.7,14.25,132.0,5.94,9.2,2.48,0
1173,222.2,37.77,218.5,18.57,266.0,11.97,10.9,2.94,0
1174,92.8,15.78,271.2,23.05,167.1,7.52,5.8,1.57,0
1175,216.8,36.86,102.2,8.69,174.0,7.83,8.6,2.32,0
1176,193.2,32.84,194.4,16.52,186.5,8.39,9.7,2.62,0
1177,113.2,19.24,189.3,16.09,271.8,12.23,14.1,3.81,0
1178,166.2,28.25,238.8,20.3,108.8,4.9,11.2,3.02,0
1179,262.2,44.57,157.0,13.35,129.1,5.81,7.3,1.97,0
1180,207.8,35.33,195.7,16.63,184.8,8.32,13.1,3.54,0
1181,245.4,41.72,148.2,12.6,274.0,12.33,7.5,2.03,0
1182,287.1,48.81,178.4,15.16,153.2,6.89,14.4,3.89,1
1183,192.3,32.69,165.3,14.05,205.0,9.23,9.0,2.43,0
1184,194.2,33.01,242.1,20.58,215.8,9.71,9.7,2.62,0
1185,211.0,35.87,217.0,18.45,214.8,9.67,9.8,2.65,0
1186,141.9,24.12,228.9,19.46,195.1,8.78,8.7,2.35,0
1187,220.5,37.49,239.5,20.36,254.3,11.44,5.9,1.59,0
1188,157.4,26.76,145.0,12.33,281.8,12.68,9.3,2.51,0
1189,143.5,24.4,223.5,19.0,175.4,7.89,11.2,3.02,0
1190,156.0,26.52,56.0,4.76,163.3,7.35,8.9,2.4,0
1191,160.1,27.22,208.4,17.71,177.6,7.99,9.2,2.48,0
1192,235.1,39.97,251.8,21.4,285.9,12.87,7.2,1.94,1
1193,160.0,27.2,209.5,17.81,82.3,3.7,8.7,2.35,1
1194,188.4,32.03,165.9,14.1,205.7,9.26,13.2,3.56,0
1195,194.8,33.12,235.3,20.0,174.4,7.85,11.0,2.97,0
1196,247.8,42.13,130.0,11.05,134.3,6.04,6.9,1.86,0
1197,221.2,37.6,213.6,18.16,291.8,13.13,11.9,3.21,0
1198,118.5,20.15,213.9,18.18,132.6,5.97,13.4,3.62,0
1199,231.8,39.41,232.9,19.8,206.9,9.31,7.6,2.05,0
1200,215.9,36.7,257.9,21.92,180.2,8.11,11.6,3.13,0
1201,217.1,36.91,220.8,18.77,249.5,11.23,8.0,2.16,0
1202,83.5,14.2,221.1,18.79,349.7,15.74,12.6,3.4,0
1203,183.3,31.16,205.1,17.43,263.7,11.87,5.1,1.38,0
1204,236.8,40.26,265.3,22.55,152.4,6.86,9.5,2.57,1
1205,193.8,32.95,195.3,16.6,182.7,8.22,8.5,2.3,0
1206,134.0,22.78,206.0,17.51,180.6,8.13,9.7,2.62,0
1207,176.6,30.02,172.7,14.68,104.5,4.7,11.3,3.05,0
1208,191.4,32.54,205.4,17.46,205.7,9.26,10.2,2.75,0
1209,174.8,29.72,219.6,18.67,255.8,11.51,12.8,3.46,0
1210,275.2,46.78,180.2,15.32,159.0,7.15,7.9,2.13,0
1211,174.0,29.58,241.1,20.49,207.8,9.35,7.9,2.13,0
1212,165.0,28.05,249.7,21.22,170.3,7.66,12.6,3.4,0
1213,228.7,38.88,168.7,14.34,223.5,10.06,11.8,3.19,0
1214,107.9,18.34,235.8,20.04,228.6,10.29,9.5,2.57,0
1215,221.3,37.62,157.8,13.41,192.5,8.66,11.3,3.05,0
1216,141.1,23.99,211.4,17.97,103.7,4.67,5.9,1.59,0
1217,166.4,28.29,238.3,20.26,150.7,6.78,10.7,2.89,0
1218,249.6,42.43,227.2,19.31,239.9,10.8,7.6,2.05,0
1219,178.6,30.36,213.1,18.11,198.0,8.91,10.9,2.94,0
1220,139.0,23.63,224.9,19.12,170.8,7.69,15.7,4.24,0
1221,134.3,22.83,202.3,17.2,195.9,8.82,12.6,3.4,0
1222,215.9,36.7,240.1,20.41,156.7,7.05,4.9,1.32,0
1223,181.6,30.87,213.2,18.12,207.8,9.35,11.4,3.08,0
1224,178.4,30.33,168.3,14.31,120.5,5.42,9.3,2.51,0
1225,106.4,18.09,140.2,11.92,90.9,4.09,11.4,3.08,0
1226,170.7,29.02,240.2,20.42,119.0,5.36,11.4,3.08,0
1227,184.5,31.37,183.2,15.57,127.4,5.73,12.3,3.32,0
1228,161.2,27.4,204.2,17.36,231.5,10.42,8.9,2.4,0
1229,84.9,14.43,257.5,21.89,210.5,9.47,7.5,2.03,0
1230,217.9,37.04,230.1,19.56,232.1,10.44,10.6,2.86,0
1231,270.9,46.05,226.2,19.23,178.8,8.05,8.8,2.38,1
1232,243.0,41.31,183.9,15.63,184.3,8.29,15.3,4.13,1
1233,128.2,21.79,48.1,4.09,116.3,5.23,8.9,2.4,0
1234,126.3,21.47,168.8,14.35,154.6,6.96,9.8,2.65,0
1235,178.7,30.38,215.7,18.33,152.7,6.87,10.6,2.86,0
1236,159.0,27.03,255.1,21.68,82.4,3.71,10.1,2.73,0
1237,150.9,25.65,161.8,13.75,167.7,7.55,11.7,3.16,0
1238,219.9,37.38,208.5,17.72,352.5,15.86,8.1,2.19,0
1239,168.0,28.56,192.4,16.35,166.5,7.49,10.1,2.73,0
1240,162.1,27.56,171.8,14.6,259.8,11.69,9.6,2.59,1
1241,198.8,33.8,195.5,16.62,213.3,9.6,16.5,4.46,0
1242,256.8,43.66,230.1,19.56,143.6,6.46,9.1,2.46,0
1243,182.8,31.08,212.7,18.08,193.8,8.72,11.0,2.97,0
1244,196.8,33.46,254.2,21.61,261.8,11.78,7.7,2.08,0
1245,140.1,23.82,231.4,19.67,188.1,8.46,11.2,3.02,0
1246,194.3,33.03,189.9,16.14,232.2,10.45,9.0,2.43,0
1247,117.6,19.99,214.0,18.19,239.5,10.78,8.8,2.38,0
1248,193.7,32.93,186.6,15.86,223.0,10.04,11.6,3.13,0
1249,243.1,41.33,231.4,19.67,180.9,8.14,7.8,2.11,0
1250,145.4,24.72,129.3,10.99,186.4,8.39,5.2,1.4,0
1251,169.1,28.75,169.9,14.44,244.9,11.02,9.9,2.67,0
1252,229.3,38.98,184.5,15.68,168.2,7.57,8.8,2.38,0
1253,197.2,33.52,211.7,17.99,210.1,9.45,8.3,2.24,0
1254,186.4,31.69,201.0,17.09,286.7,12.9,11.1,3.0,1
1255,76.1,12.94,290.3,24.68,236.9,10.66,10.8,2.92,0
1256,162.8,27.68,185.0,15.73,219.5,9.88,6.0,1.62,0
1257,182.3,30.99,199.2,16.93,120.2,5.41,18.0,4.86,0
1258,194.4,33.05,247.8,21.06,245.4,11.04,11.2,3.02,0
1259,189.3,32.18,118.6,10.08,250.2,11.26,12.5,3.38,0
1260,160.1,27.22,168.7,14.34,23.2,1.04,9.5,2.57,0
1261,145.0,24.65,240.7,20.46,197.1,8.87,7.1,1.92,0
1262,220.7,37.52,119.3,10.14,165.1,7.43,11.5,3.11,0
1263,224.7,38.2,134.5,11.43,120.3,5.41,7.5,2.03,1
1264,147.0,24.99,162.3,13.8,162.9,7.33,10.5,2.84,0
1265,260.8,44.34,213.4,18.14,195.6,8.8,10.1,2.73,0
1266,155.4,26.42,164.1,13.95,157.7,7.1,9.0,2.43,0
1267,166.2,28.25,255.3,21.7,228.1,10.26,5.4,1.46,0
1268,211.8,36.01,260.5,22.14,144.2,6.49,10.8,2.92,0
1269,130.5,22.19,208.4,17.71,141.6,6.37,11.0,2.97,1
1270,162.7,27.66,292.0,24.82,183.3,8.25,8.7,2.35,0
1271,237.1,40.31,264.2,22.46,271.3,12.21,7.9,2.13,0
1272,166.2,28.25,217.6,18.5,220.2,9.91,13.2,3.56,0
1273,121.7,20.69,125.8,10.69,261.6,11.77,8.3,2.24,1
1274,176.4,29.99,201.0,17.09,150.4,6.77,11.2,3.02,0
1275,67.4,11.46,244.0,20.74,281.1,12.65,11.4,3.08,0
1276,229.7,39.05,336.0,28.56,192.8,8.68,9.6,2.59,1
1277,176.0,29.92,277.9,23.62,174.7,7.86,14.7,3.97,0
1278,247.7,42.11,269.5,22.91,167.3,7.53,9.6,2.59,1
1279,115.4,19.62,262.6,22.32,245.7,11.06,13.1,3.54,0
1280,112.2,19.07,209.6,17.82,260.9,11.74,13.9,3.75,1
1281,162.6,27.64,154.0,13.09,209.7,9.44,11.5,3.11,0
1282,229.4,39.0,214.1,18.2,289.6,13.03,10.4,2.81,0
1283,139.6,23.73,124.2,10.56,95.6,4.3,15.0,4.05,0
1284,263.8,44.85,251.3,21.36,200.1,9.0,8.4,2.27,1
1285,217.5,36.98,233.7,19.86,163.9,7.38,9.0,2.43,0
1286,114.3,19.43,199.8,16.98,194.7,8.76,7.5,2.03,0
1287,196.3,33.37,136.8,11.63,154.7,6.96,7.7,2.08,0
1288,253.2,43.04,188.0,15.98,142.0,6.39,4.4,1.19,0
1289,98.0,16.66,240.7,20.46,254.8,11.47,10.5,2.84,0
1290,249.4,42.4,211.5,17.98,169.0,7.61,9.1,2.46,0
1291,129.6,22.03,233.0,19.81,297.0,13.37,14.5,3.92,0
1292,221.3,37.62,267.6,22.75,111.5,5.02,9.3,2.51,0
1293,220.7,37.52,177.8,15.11,206.1,9.27,12.4,3.35,0
1294,87.6,14.89,262.0,22.27,184.6,8.31,9.2,2.48,0
1295,203.6,34.61,161.7,13.74,175.9,7.92,8.4,2.27,0
1296,213.6,36.31,234.9,19.97,229.6,10.33,8.8,2.38,0
1297,181.6,30.87,220.7,18.76,236.3,10.63,12.9,3.48,0
1298,215.4,36.62,328.7,27.94,160.5,7.22,7.8,2.11,0
1299,266.3,45.27,207.8,17.66,205.0,9.23,14.0,3.78,1
1300,199.2,33.86,175.1,14.88,210.6,9.48,10.2,2.75,0
1301,115.0,19.55,137.8,11.71,224.0,10.08,7.3,1.97,0
1302,270.5,45.99,230.0,19.55,136.0,6.12,9.6,2.59,1
1303,222.2,37.77,153.1,13.01,227.4,10.23,12.9,3.48,0
1304,61.9,10.52,262.6,22.32,212.5,9.56,8.8,2.38,0
1305,141.1,23.99,249.1,21.17,136.0,6.12,10.8,2.92,0
1306,189.2,32.16,184.4,15.67,255.8,11.51,10.6,2.86,1
1307,196.0,33.32,186.0,15.81,153.0,6.89,9.8,2.65,0
1308,171.6,29.17,205.0,17.43,170.6,7.68,13.8,3.73,0
1309,174.0,29.58,161.3,13.71,260.7,11.73,11.4,3.08,0
1310,78.6,13.36,187.3,15.92,184.2,8.29,7.4,2.0,1
1311,200.9,34.15,164.3,13.97,249.0,11.21,8.9,2.4,0
1312,141.3,24.02,253.6,21.56,215.8,9.71,6.4,1.73,0
1313,235.8,40.09,176.0,14.96,63.6,2.86,7.3,1.97,0
1314,185.1,31.47,165.1,14.03,111.6,5.02,6.3,1.7,0
1315,254.3,43.23,78.9,6.71,153.2,6.89,11.8,3.19,0
1316,183.0,31.11,214.8,18.26,206.4,9.29,8.7,2.35,0
1317,163.5,27.8,274.8,23.36,381.9,17.19,7.5,2.03,0
1318,207.9,35.34,210.5,17.89,109.6,4.93,7.7,2.08,0
1319,248.6,42.26,174.9,14.87,207.2,9.32,6.1,1.65,0
1320,185.4,31.52,197.6,16.8,147.1,6.62,14.5,3.92,0
1321,197.8,33.63,221.0,18.79,168.6,7.59,8.9,2.4,0
1322,132.1,22.46,138.9,11.81,192.6,8.67,9.1,2.46,1
1323,197.1,33.51,227.8,19.36,214.0,9.63,9.3,2.51,0
1324,154.6,26.28,184.2,15.66,217.4,9.78,12.6,3.4,0
1325,153.1,26.03,185.9,15.8,224.3,10.09,10.0,2.7,1
1326,211.2,35.9,231.1,19.64,220.9,9.94,6.3,1.7,0
1327,96.8,16.46,142.6,12.12,210.1,9.45,10.9,2.94,1
1328,172.0,29.24,276.4,23.49,193.7,8.72,10.1,2.73,0
1329,141.1,23.99,147.2,12.51,254.7,11.46,8.0,2.16,0
1330,151.1,25.69,244.7,20.8,154.4,6.95,13.8,3.73,0
1331,209.6,35.63,228.8,19.45,172.4,7.76,7.6,2.05,0
1332,247.0,41.99,125.6,10.68,226.5,10.19,10.5,2.84,0
1333,221.4,37.64,165.8,14.09,247.0,11.12,10.8,2.92,0
1334,321.3,54.62,167.9,14.27,193.6,8.71,8.0,2.16,1
1335,243.7,41.43,60.0,5.1,189.0,8.5,11.3,3.05,0
1336,251.5,42.76,214.2,18.21,186.1,8.37,11.1,3.0,0
1337,236.9,40.27,157.6,13.4,241.0,10.85,7.3,1.97,1
1338,159.7,27.15,216.7,18.42,206.7,9.3,9.3,2.51,0
1339,148.2,25.19,220.4,18.73,134.2,6.04,9.2,2.48,1
1340,150.9,25.65,268.6,22.83,179.9,8.1,14.7,3.97,0
1341,210.5,35.79,250.5,21.29,241.6,10.87,11.5,3.11,0
1342,170.9,29.05,201.4,17.12,159.0,7.15,4.1,1.11,0
1343,254.7,43.3,90.2,7.67,153.4,6.9,10.6,2.86,0
1344,284.4,48.35,157.0,13.35,242.8,10.93,8.4,2.27,1
1345,0.0,0.0,159.6,13.57,167.1,7.52,6.8,1.84,1
1346,133.7,22.73,187.8,15.96,181.9,8.19,10.7,2.89,1
1347,224.9,38.23,191.9,16.31,229.9,10.35,10.3,2.78,0
1348,151.8,25.81,209.9,17.84,266.9,12.01,11.9,3.21,0
1349,141.4,24.04,163.0,13.86,220.0,9.9,5.6,1.51,0
1350,285.7,48.57,230.9,19.63,230.7,10.38,14.8,4.0,1
1351,58.4,9.93,262.2,22.29,159.0,7.15,11.9,3.21,0
1352,90.4,15.37,201.3,17.11,227.1,10.22,13.1,3.54,0
1353,114.4,19.45,216.6,18.41,250.6,11.28,11.0,2.97,0
1354,147.7,25.11,222.7,18.93,163.5,7.36,12.8,3.46,0
1355,302.7,51.46,240.5,20.44,193.9,8.73,13.6,3.67,0
1356,136.1,23.14,204.2,17.36,228.2,10.27,11.3,3.05,0
1357,169.7,28.85,165.9,14.1,191.9,8.64,12.8,3.46,0
1358,227.2,38.62,194.4,16.52,243.4,10.95,14.9,4.02,0
1359,217.8,37.03,220.6,18.75,277.3,12.48,10.3,2.78,1
1360,124.2,21.11,123.9,10.53,135.7,6.11,13.1,3.54,0
1361,206.2,35.05,232.4,19.75,251.6,11.32,13.6,3.67,0
1362,132.9,22.59,67.0,5.7,160.4,7.22,9.9,2.67,0
1363,104.9,17.83,237.6,20.2,263.4,11.85,7.7,2.08,0
1364,245.0,41.65,250.7,21.31,270.2,12.16,13.7,3.7,1
1365,184.5,31.37,224.0,19.04,180.5,8.12,11.6,3.13,0
1366,89.5,15.22,179.3,15.24,225.1,10.13,12.3,3.32,0
1367,235.6,40.05,194.8,16.56,170.6,7.68,8.6,2.32,0
1368,186.0,31.62,262.3,22.3,98.9,4.45,11.5,3.11,0
1369,223.9,38.06,155.7,13.23,150.2,6.76,7.3,1.97,0
1370,179.5,30.52,162.3,13.8,264.5,11.9,6.6,1.78,0
1371,169.4,28.8,253.5,21.55,197.1,8.87,8.9,2.4,0
1372,118.1,20.08,144.3,12.27,225.1,10.13,8.2,2.21,0
1373,112.0,19.04,193.7,16.46,208.9,9.4,4.1,1.11,1
1374,168.4,28.63,225.9,19.2,191.8,8.63,8.5,2.3,0
1375,214.3,36.43,188.2,16.0,333.5,15.01,11.3,3.05,0
1376,245.7,41.77,241.9,20.56,285.3,12.84,4.2,1.13,1
1377,156.6,26.62,71.0,6.04,261.7,11.78,13.4,3.62,0
1378,142.8,24.28,272.3,23.15,193.4,8.7,8.9,2.4,0
1379,202.4,34.41,230.7,19.61,202.0,9.09,10.2,2.75,0
1380,116.8,19.86,123.1,10.46,217.5,9.79,12.0,3.24,0
1381,155.7,26.47,260.3,22.13,192.2,8.65,11.0,2.97,0
1382,236.1,40.14,289.2,24.58,175.4,7.89,9.1,2.46,0
1383,138.1,23.48,260.1,22.11,135.4,6.09,8.2,2.21,0
1384,51.9,8.82,162.0,13.77,223.5,10.06,10.1,2.73,0
1385,81.3,13.82,220.6,18.75,235.7,10.61,8.9,2.4,0
1386,171.5,29.16,153.1,13.01,165.6,7.45,7.1,1.92,0
1387,126.0,21.42,144.3,12.27,302.8,13.63,7.6,2.05,0
1388,197.2,33.52,156.0,13.26,204.1,9.18,9.9,2.67,0
1389,194.1,33.0,227.2,19.31,190.4,8.57,15.3,4.13,0
1390,115.7,19.67,127.8,10.86,107.5,4.84,9.3,2.51,0
1391,157.2,26.72,196.3,16.69,226.7,10.2,8.4,2.27,0
1392,269.7,45.85,207.6,17.65,214.2,9.64,4.5,1.22,1
1393,246.4,41.89,228.1,19.39,166.4,7.49,9.1,2.46,0
1394,227.4,38.66,268.5,22.82,143.3,6.45,13.0,3.51,0
1395,189.8,32.27,115.5,9.82,191.3,8.61,12.2,3.29,0
1396,188.9,32.11,160.9,13.68,197.7,8.9,11.5,3.11,0
1397,0.0,0.0,192.1,16.33,168.8,7.6,7.2,1.94,0
1398,110.5,18.79,227.8,19.36,243.6,10.96,11.0,2.97,0
1399,167.6,28.49,219.2,18.63,215.9,9.72,11.7,3.16,0
1400,132.0,22.44,197.5,16.79,175.8,7.91,0.0,0.0,0
1401,167.8,28.53,247.9,21.07,155.1,6.98,11.9,3.21,0
1402,213.4,36.28,204.7,17.4,256.6,11.55,5.7,1.54,0
1403,175.4,29.82,98.3,8.36,201.9,9.09,10.6,2.86,0
1404,82.6,14.04,224.4,19.07,163.6,7.36,9.5,2.57,0
1405,143.2,24.34,88.1,7.49,233.2,10.49,8.8,2.38,1
1406,125.5,21.34,269.8,22.93,235.8,10.61,8.9,2.4,0
1407,82.3,13.99,256.1,21.77,229.6,10.33,11.8,3.19,1
1408,165.6,28.15,195.9,16.65,118.3,5.32,11.8,3.19,0
1409,183.1,31.13,232.6,19.77,248.3,11.17,8.4,2.27,0
1410,162.1,27.56,212.1,18.03,260.4,11.72,12.2,3.29,0
1411,166.6,28.32,192.4,16.35,167.9,7.56,7.7,2.08,0
1412,135.9,23.1,233.2,19.82,210.6,9.48,9.4,2.54,0
1413,165.7,28.17,215.6,18.33,243.3,10.95,9.8,2.65,0
1414,176.1,29.94,174.9,14.87,234.7,10.56,9.7,2.62,0
1415,142.3,24.19,204.5,17.38,203.1,9.14,9.1,2.46,0
1416,177.6,30.19,296.8,25.23,192.9,8.68,7.6,2.05,0
1417,83.2,14.14,190.6,16.2,150.5,6.77,10.7,2.89,0
1418,235.0,39.95,183.3,15.58,139.8,6.29,5.7,1.54,0
1419,105.7,17.97,141.8,12.05,180.5,8.12,6.6,1.78,0
1420,149.4,25.4,171.9,14.61,214.5,9.65,17.9,4.83,1
1421,264.7,45.0,216.5,18.4,210.7,9.48,10.4,2.81,0
1422,160.3,27.25,221.5,18.83,261.6,11.77,5.6,1.51,0
1423,95.9,16.3,159.5,13.56,152.8,6.88,10.4,2.81,0
1424,140.7,23.92,195.2,16.59,252.9,11.38,11.7,3.16,0
1425,119.7,20.35,231.8,19.7,222.3,10.0,4.6,1.24,0
1426,99.9,16.98,263.5,22.4,254.7,11.46,9.8,2.65,0
1427,250.9,42.65,171.4,14.57,148.6,6.69,9.6,2.59,0
1428,200.6,34.1,289.5,24.61,98.3,4.42,11.2,3.02,0
1429,209.8,35.67,196.6,16.71,233.0,10.49,7.0,1.89,0
1430,198.0,33.66,273.7,23.26,217.9,9.81,7.6,2.05,0
1431,239.8,40.77,128.9,10.96,249.9,11.25,11.3,3.05,0
1432,164.5,27.97,147.9,12.57,252.7,11.37,11.2,3.02,0
1433,220.9,37.55,192.2,16.34,161.0,7.25,12.2,3.29,0
1434,112.8,19.18,243.9,20.73,178.7,8.04,13.2,3.56,0
1435,112.6,19.14,261.7,22.24,123.5,5.56,11.1,3.0,1
1436,226.4,38.49,234.7,19.95,133.6,6.01,10.8,2.92,0
1437,244.9,41.63,219.6,18.67,210.8,9.49,9.7,2.62,0
1438,203.2,34.54,235.8,20.04,224.9,10.12,15.1,4.08,0
1439,136.7,23.24,243.1,20.66,188.9,8.5,8.6,2.32,0
1440,152.6,25.94,208.9,17.76,119.1,5.36,5.0,1.35,0
1441,274.9,46.73,186.6,15.86,245.0,11.03,8.8,2.38,0
1442,195.7,33.27,209.1,17.77,201.1,9.05,8.3,2.24,1
1443,204.3,34.73,188.8,16.05,139.4,6.27,9.2,2.48,0
1444,222.3,37.79,146.2,12.43,275.6,12.4,8.9,2.4,0
1445,222.5,37.83,171.5,14.58,377.5,16.99,9.7,2.62,0
1446,128.8,21.9,157.3,13.37,147.4,6.63,10.3,2.78,0
1447,174.3,29.63,171.3,14.56,220.8,9.94,8.3,2.24,0
1448,242.5,41.23,162.3,13.8,184.1,8.28,7.8,2.11,0
1449,221.6,37.67,285.2,24.24,167.4,7.53,12.7,3.43,0
1450,114.3,19.43,221.1,18.79,126.3,5.68,10.9,2.94,0
1451,219.7,37.35,186.8,15.88,184.5,8.3,9.5,2.57,0
1452,144.9,24.63,151.3,12.86,252.4,11.36,12.3,3.32,0
1453,236.5,40.21,117.0,9.95,221.1,9.95,8.1,2.19,0
1454,174.0,29.58,209.4,17.8,224.1,10.08,14.1,3.81,1
1455,109.5,18.62,332.1,28.23,258.6,11.64,6.6,1.78,0
1456,81.6,13.87,235.6,20.03,150.9,6.79,9.9,2.67,0
1457,133.4,22.68,121.0,10.29,254.7,11.46,5.9,1.59,0
1458,137.1,23.31,209.8,17.83,238.4,10.73,8.6,2.32,0
1459,197.0,33.49,190.4,16.18,211.9,9.54,16.1,4.35,0
1460,198.1,33.68,156.7,13.32,182.1,8.19,9.3,2.51,0
1461,39.5,6.72,264.3,22.47,185.8,8.36,10.0,2.7,0
1462,199.5,33.92,207.5,17.64,83.9,3.78,8.1,2.19,0
1463,156.8,26.66,215.8,18.34,223.3,10.05,7.6,2.05,0
1464,183.4,31.18,237.6,20.2,228.0,10.26,9.0,2.43,0
1465,132.4,22.51,121.6,10.34,197.7,8.9,8.6,2.32,0
1466,63.2,10.74,220.2,18.72,184.0,8.28,5.1,1.38,0
1467,181.1,30.79,215.9,18.35,216.3,9.73,16.9,4.56,1
1468,117.5,19.98,206.8,17.58,194.4,8.75,4.2,1.13,0
1469,218.7,37.18,163.4,13.89,173.8,7.82,15.0,4.05,0
1470,207.3,35.24,137.3,11.67,115.7,5.21,5.9,1.59,0
1471,150.6,25.6,301.5,25.63,158.7,7.14,8.1,2.19,0
1472,273.3,46.46,263.6,22.41,165.2,7.43,12.0,3.24,1
1473,266.1,45.24,182.0,15.47,206.5,9.29,10.3,2.78,0
1474,112.8,19.18,156.7,13.32,249.6,11.23,16.3,4.4,0
1475,104.7,17.8,82.2,6.99,169.4,7.62,15.8,4.27,0
1476,193.8,32.95,197.6,16.8,218.8,9.85,5.9,1.59,0
1477,168.6,28.66,298.0,25.33,194.7,8.76,9.8,2.65,0
1478,253.2,43.04,201.0,17.09,195.3,8.79,9.7,2.62,0
1479,174.7,29.7,232.1,19.73,305.4,13.74,8.9,2.4,0
1480,87.0,14.79,193.6,16.46,205.8,9.26,11.0,2.97,0
1481,204.5,34.77,132.8,11.29,190.1,8.55,14.8,4.0,0
1482,226.5,38.51,152.1,12.93,164.4,7.4,9.4,2.54,0
1483,234.1,39.8,163.1,13.86,282.5,12.71,10.0,2.7,0
1484,133.3,22.66,182.9,15.55,241.1,10.85,12.9,3.48,1
1485,133.9,22.76,166.4,14.14,193.5,8.71,15.4,4.16,0
1486,160.2,27.23,138.9,11.81,312.5,14.06,9.7,2.62,0
1487,230.6,39.2,224.1,19.05,244.0,10.98,11.1,3.0,0
1488,227.4,38.66,176.0,14.96,206.1,9.27,6.3,1.7,0
1489,72.8,12.38,267.1,22.7,222.5,10.01,11.8,3.19,0
1490,196.1,33.34,296.5,25.2,211.5,9.52,7.0,1.89,0
1491,197.1,33.51,165.9,14.1,227.3,10.23,12.8,3.46,0
1492,219.6,37.33,303.3,25.78,154.5,6.95,9.7,2.62,0
1493,153.4,26.08,151.4,12.87,153.8,6.92,12.8,3.46,1
1494,216.0,36.72,186.9,15.89,210.7,9.48,4.9,1.32,0
1495,222.9,37.89,262.0,22.27,191.4,8.61,10.8,2.92,0
1496,115.9,19.7,236.6,20.11,255.0,11.48,11.7,3.16,0
1497,189.8,32.27,147.7,12.55,172.7,7.77,10.6,2.86,0
1498,154.7,26.3,298.0,25.33,210.2,9.46,11.1,3.0,0
1499,136.4,23.19,202.5,17.21,230.7,10.38,11.5,3.11,0
1500,170.5,28.99,277.5,23.59,162.5,7.31,12.2,3.29,0
1501,272.4,46.31,107.9,9.17,185.5,8.35,12.7,3.43,0
1502,210.0,35.7,232.7,19.78,168.8,7.6,5.9,1.59,0
1503,236.5,40.21,163.1,13.86,236.7,10.65,12.2,3.29,0
1504,153.9,26.16,220.1,18.71,280.5,12.62,8.5,2.3,0
1505,223.0,37.91,227.0,19.3,188.3,8.47,8.8,2.38,0
1506,252.4,42.91,167.9,14.27,248.3,11.17,10.7,2.89,0
1507,197.9,33.64,168.1,14.29,239.8,10.79,12.0,3.24,0
1508,152.4,25.91,274.6,23.34,252.2,11.35,6.6,1.78,0
1509,237.4,40.36,175.9,14.95,210.3,9.46,9.2,2.48,0
1510,265.6,45.15,180.7,15.36,211.1,9.5,8.6,2.32,0
1511,197.3,33.54,305.8,25.99,171.0,7.69,6.7,1.81,0
1512,199.1,33.85,221.8,18.85,65.7,2.96,4.2,1.13,0
1513,233.7,39.73,207.9,17.67,212.7,9.57,12.0,3.24,0
1514,183.1,31.13,160.1,13.61,311.8,14.03,7.0,1.89,0
1515,139.4,23.7,143.4,12.19,225.2,10.13,10.0,2.7,0
1516,213.9,36.36,260.5,22.14,233.8,10.52,8.4,2.27,1
1517,207.1,35.21,200.1,17.01,194.2,8.74,12.4,3.35,0
1518,139.7,23.75,202.6,17.22,203.6,9.16,11.3,3.05,0
1519,177.2,30.12,228.7,19.44,194.3,8.74,8.9,2.4,0
1520,169.8,28.87,173.7,14.76,214.6,9.66,9.5,2.57,0
1521,173.5,29.5,244.3,20.77,221.6,9.97,9.7,2.62,0
1522,159.9,27.18,172.2,14.64,263.2,11.84,5.6,1.51,0
1523,115.1,19.57,196.8,16.73,212.4,9.56,11.4,3.08,0
1524,136.8,23.26,179.5,15.26,71.1,3.2,12.5,3.38,0
1525,92.2,15.67,211.2,17.95,129.1,5.81,13.1,3.54,0
1526,243.9,41.46,133.0,11.31,213.7,9.62,13.4,3.62,0
1527,117.1,19.91,235.4,20.01,221.3,9.96,9.0,2.43,0
1528,223.3,37.96,167.1,14.2,203.0,9.14,4.5,1.22,1
1529,154.8,26.32,171.5,14.58,227.3,10.23,10.6,2.86,0
1530,261.4,44.44,215.7,18.33,271.8,12.23,8.0,2.16,1
1531,46.5,7.91,186.0,15.81,167.5,7.54,9.6,2.59,1
1532,149.9,25.48,170.9,14.53,171.5,7.72,11.5,3.11,1
1533,242.2,41.17,226.1,19.22,252.0,11.34,13.9,3.75,1
1534,259.4,44.1,172.7,14.68,293.7,13.22,10.7,2.89,1
1535,222.4,37.81,185.8,15.79,237.7,10.7,12.0,3.24,0
